keggID,DECount,Expect,N,notDECount,DEGsRatio,GeneRatio,BgRatio,p,adjP,FDR,Class,Description,SubVsCont
ath00591,4,0.9593023255813954,9,5,4/9,4/825,5/4300,0.042720152688032594,0.042720152688032594,0.042720152688032594,Metabolism; Lipid metabolism,Linoleic acid metabolism,wt_subVScont
ath00905,4,0.9593023255813954,9,5,4/9,4/825,5/4300,0.042720152688032594,0.042720152688032594,0.042720152688032594,Metabolism; Metabolism of terpenoids and polyketides,Brassinosteroid biosynthesis,wt_subVScont
ath00945,4,0.9593023255813954,9,5,4/9,4/825,5/4300,0.042720152688032594,0.042720152688032594,0.042720152688032594,Metabolism; Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",wt_subVScont
ath00480,24,15.156976744186046,103,79,24/103,24/825,79/4300,0.056552044840466956,0.056552044840466956,0.056552044840466956,Metabolism; Metabolism of other amino acids,Glutathione metabolism,wt_subVScont
ath00290,7,2.686046511627907,21,14,7/21,7/825,14/4300,0.06515333275027503,0.06515333275027503,0.06515333275027503,Metabolism; Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",wt_subVScont
ath00220,10,4.988372093023256,36,26,10/36,10/825,26/4300,0.06685651435381519,0.06685651435381519,0.06685651435381519,Metabolism; Amino acid metabolism,Arginine biosynthesis,wt_subVScont
ath00960,10,4.988372093023256,36,26,10/36,10/825,26/4300,0.06685651435381519,0.06685651435381519,0.06685651435381519,Metabolism; Biosynthesis of other secondary metabolites,"Tropane, piperidine and pyridine alkaloid biosynthesis",wt_subVScont
ath00073,10,5.180232558139535,37,27,10/37,10/825,27/4300,0.07443419299826214,0.07443419299826214,0.07443419299826214,Metabolism; Lipid metabolism,"Cutin, suberine and wax biosynthesis",wt_subVScont
ath02010,16,9.976744186046512,68,52,16/68,16/825,52/4300,0.09725897537447625,0.09725897537447625,0.09725897537447625,Environmental Information Processing; Membrane transport,ABC transporters,wt_subVScont
ath00230,19,13.046511627906977,87,68,19/87,19/825,68/4300,0.14203326519942566,0.14203326519942566,0.14203326519942566,Metabolism; Nucleotide metabolism,Purine metabolism,wt_subVScont
ath00410,11,6.906976744186046,47,36,11/47,11/825,36/4300,0.16548793681010693,0.16548793681010693,0.16548793681010693,Metabolism; Metabolism of other amino acids,beta-Alanine metabolism,wt_subVScont
ath00100,9,5.180232558139535,36,27,9/36,9/825,27/4300,0.16792870766292486,0.16792870766292486,0.16792870766292486,Metabolism; Lipid metabolism,Steroid biosynthesis,wt_subVScont
ath00280,12,7.674418604651163,52,40,12/52,12/825,40/4300,0.18241224359850028,0.18241224359850028,0.18241224359850028,Metabolism; Amino acid metabolism,"Valine, leucine and isoleucine degradation",wt_subVScont
ath00601,2,0.5755813953488372,5,3,2/5,2/825,3/4300,0.18527763889396556,0.18527763889396556,0.18527763889396556,Metabolism; Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series,wt_subVScont
ath00531,3,1.3430232558139534,10,7,3/10,3/825,7/4300,0.20891202393320799,0.20891202393320799,0.20891202393320799,Metabolism; Glycan biosynthesis and metabolism,Glycosaminoglycan degradation,wt_subVScont
ath00240,14,9.593023255813954,64,50,14/64,14/825,50/4300,0.22859133206336302,0.22859133206336302,0.22859133206336302,Metabolism; Nucleotide metabolism,Pyrimidine metabolism,wt_subVScont
ath00561,14,9.976744186046512,66,52,14/66,14/825,52/4300,0.24067820041356222,0.24067820041356222,0.24067820041356222,Metabolism; Lipid metabolism,Glycerolipid metabolism,wt_subVScont
ath00770,8,4.988372093023256,34,26,8/34,8/825,26/4300,0.24070943905605352,0.24070943905605352,0.24070943905605352,Metabolism; Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis,wt_subVScont
ath00260,15,10.55232558139535,70,55,15/70,15/825,55/4300,0.24943653601497606,0.24943653601497606,0.24943653601497606,Metabolism; Amino acid metabolism,"Glycine, serine and threonine metabolism",wt_subVScont
ath00620,19,14.965116279069768,97,78,19/97,19/825,78/4300,0.33026532346552734,0.33026532346552734,0.33026532346552734,Metabolism; Carbohydrate metabolism,Pyruvate metabolism,wt_subVScont
ath00730,5,3.0697674418604652,21,16,5/21,5/825,16/4300,0.366408712064123,0.366408712064123,0.366408712064123,Metabolism; Metabolism of cofactors and vitamins,Thiamine metabolism,wt_subVScont
ath00603,3,1.5348837209302326,11,8,3/11,3/825,8/4300,0.39978982234463795,0.39978982234463795,0.39978982234463795,Metabolism; Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - globo and isoglobo series,wt_subVScont
ath00909,5,3.453488372093023,23,18,5/23,5/825,18/4300,0.40227027735288623,0.40227027735288623,0.40227027735288623,Metabolism; Metabolism of terpenoids and polyketides,Sesquiterpenoid and triterpenoid biosynthesis,wt_subVScont
ath00630,15,12.087209302325581,78,63,15/78,15/825,63/4300,0.43795336693565656,0.43795336693565656,0.43795336693565656,Metabolism; Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,wt_subVScont
ath00130,8,5.9476744186046515,39,31,8/39,8/825,31/4300,0.5091333823134447,0.5091333823134447,0.5091333823134447,Metabolism; Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis,wt_subVScont
ath04712,8,5.9476744186046515,39,31,8/39,8/825,31/4300,0.5091333823134447,0.5091333823134447,0.5091333823134447,Organismal Systems; Environmental adaptation,Circadian rhythm - plant,wt_subVScont
ath00710,13,10.744186046511627,69,56,13/69,13/825,56/4300,0.5103903447139276,0.5103903447139276,0.5103903447139276,Metabolism; Energy metabolism,Carbon fixation in photosynthetic organisms,wt_subVScont
ath00920,8,6.523255813953488,42,34,8/42,8/825,34/4300,0.5326866646092925,0.5326866646092925,0.5326866646092925,Metabolism; Energy metabolism,Sulfur metabolism,wt_subVScont
ath00590,4,3.0697674418604652,20,16,4/20,4/825,16/4300,0.549840066525709,0.549840066525709,0.549840066525709,Metabolism; Lipid metabolism,Arachidonic acid metabolism,wt_subVScont
ath03440,12,9.976744186046512,64,52,12/64,12/825,52/4300,0.6064357878394713,0.6064357878394713,0.6064357878394713,Genetic Information Processing; Replication and repair,Homologous recombination,wt_subVScont
ath00052,10,9.017441860465116,57,47,10/57,10/825,47/4300,0.7182769665125105,0.7182769665125105,0.7182769665125105,Metabolism; Carbohydrate metabolism,Galactose metabolism,wt_subVScont
ath03410,7,6.715116279069767,42,35,7/42,7/825,35/4300,0.8349192421794321,0.8349192421794321,0.8349192421794321,Genetic Information Processing; Replication and repair,Base excision repair,wt_subVScont
ath04145,14,13.238372093023257,83,69,14/83,14/825,69/4300,0.8800648210605113,0.8800648210605113,0.8800648210605113,Cellular Processes; Transport and catabolism,Phagosome,wt_subVScont
ath03430,6,5.9476744186046515,37,31,6/37,6/825,31/4300,0.9999999999999999,0.9999999999999999,0.9999999999999999,Genetic Information Processing; Replication and repair,Mismatch repair,wt_subVScont
ath00310,5,4.988372093023256,31,26,5/31,5/825,26/4300,1,1,1,Metabolism; Amino acid metabolism,Lysine degradation,wt_subVScont
ath04075,100,47.169099756691,291,191,100/291,100/1015,191/4110,2.057015493430707e-9,2.057015493430707e-9,2.057015493430707e-9,Environmental Information Processing; Signal transduction,Plant hormone signal transduction,gad1CS_subVScont
ath00062,17,4.692214111922141,36,19,17/36,17/1015,19/4110,1.8183159960308458e-4,1.8183159960308458e-4,1.8183159960308458e-4,Metabolism; Lipid metabolism,Fatty acid elongation,gad1CS_subVScont
ath00999,26,9.63138686131387,65,39,26/65,26/1015,39/4110,2.0991840620660925e-4,2.0991840620660925e-4,2.0991840620660925e-4,Metabolism; Biosynthesis of other secondary metabolites,Biosynthesis of various plant secondary metabolites,gad1CS_subVScont
ath00860,22,7.655717761557177,53,31,22/53,22/1015,31/4110,3.3839186767755037e-4,3.3839186767755037e-4,3.3839186767755037e-4,Metabolism; Metabolism of cofactors and vitamins,Porphyrin metabolism,gad1CS_subVScont
ath04016,45,23.214111922141118,139,94,45/139,45/1015,94/4110,3.4169655662775295e-4,3.4169655662775295e-4,3.4169655662775295e-4,Environmental Information Processing; Signal transduction,MAPK signaling pathway - plant,gad1CS_subVScont
ath03030,20,6.914841849148418,48,28,20/48,20/1015,28/4110,4.337781952682977e-4,4.337781952682977e-4,4.337781952682977e-4,Genetic Information Processing; Replication and repair,DNA replication,gad1CS_subVScont
ath00966,12,3.457420924574209,26,14,12/26,12/1015,14/4110,0.0020898299279733224,0.0020898299279733224,0.0020898299279733224,Metabolism; Biosynthesis of other secondary metabolites,Glucosinolate biosynthesis,gad1CS_subVScont
ath00950,10,2.9635036496350367,22,12,10/22,10/1015,12/4110,0.005608503513752553,0.005608503513752553,0.005608503513752553,Metabolism; Biosynthesis of other secondary metabolites,Isoquinoline alkaloid biosynthesis,gad1CS_subVScont
ath00908,13,4.692214111922141,32,19,13/32,13/1015,19/4110,0.006246501921085323,0.006246501921085323,0.006246501921085323,Metabolism; Metabolism of terpenoids and polyketides,Zeatin biosynthesis,gad1CS_subVScont
ath00910,16,6.6678832116788325,43,27,16/43,16/1015,27/4110,0.006769773004812468,0.006769773004812468,0.006769773004812468,Metabolism; Energy metabolism,Nitrogen metabolism,gad1CS_subVScont
ath00360,13,4.9391727493917275,33,20,13/33,13/1015,20/4110,0.008011486214561353,0.008011486214561353,0.008011486214561353,Metabolism; Amino acid metabolism,Phenylalanine metabolism,gad1CS_subVScont
ath00710,23,11.360097323600973,69,46,23/69,23/1015,46/4110,0.008793358801119562,0.008793358801119562,0.008793358801119562,Metabolism; Energy metabolism,Carbon fixation in photosynthetic organisms,gad1CS_subVScont
ath00053,21,10.372262773722628,63,42,21/63,21/1015,42/4110,0.01029105486558871,0.01029105486558871,0.01029105486558871,Metabolism; Carbohydrate metabolism,Ascorbate and aldarate metabolism,gad1CS_subVScont
ath02010,22,11.360097323600973,68,46,22/68,22/1015,46/4110,0.013448132324231284,0.013448132324231284,0.013448132324231284,Environmental Information Processing; Membrane transport,ABC transporters,gad1CS_subVScont
ath00100,13,5.680048661800487,36,23,13/36,13/1015,23/4110,0.019929985566793762,0.019929985566793762,0.019929985566793762,Metabolism; Lipid metabolism,Steroid biosynthesis,gad1CS_subVScont
ath00960,13,5.680048661800487,36,23,13/36,13/1015,23/4110,0.019929985566793762,0.019929985566793762,0.019929985566793762,Metabolism; Biosynthesis of other secondary metabolites,"Tropane, piperidine and pyridine alkaloid biosynthesis",gad1CS_subVScont
ath00480,30,18.027980535279806,103,73,30/103,30/1015,73/4110,0.0236752799402732,0.0236752799402732,0.0236752799402732,Metabolism; Metabolism of other amino acids,Glutathione metabolism,gad1CS_subVScont
ath00130,14,6.173965936739659,39,25,14/39,14/1015,25/4110,0.023821072576900755,0.023821072576900755,0.023821072576900755,Metabolism; Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis,gad1CS_subVScont
ath00500,46,30.869829683698295,171,125,46/171,46/1015,125/4110,0.02425167096802393,0.02425167096802393,0.02425167096802393,Metabolism; Carbohydrate metabolism,Starch and sucrose metabolism,gad1CS_subVScont
ath00410,16,7.655717761557177,47,31,16/47,16/1015,31/4110,0.025077955152397163,0.025077955152397163,0.025077955152397163,Metabolism; Metabolism of other amino acids,beta-Alanine metabolism,gad1CS_subVScont
ath00944,3,0.24695863746958638,4,1,3/4,3/1015,1/4110,0.026405337701527642,0.026405337701527642,0.026405337701527642,Metabolism; Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis,gad1CS_subVScont
ath00350,14,6.6678832116788325,41,27,14/41,14/1015,27/4110,0.028890058813905647,0.028890058813905647,0.028890058813905647,Metabolism; Amino acid metabolism,Tyrosine metabolism,gad1CS_subVScont
ath00280,17,8.643552311435522,52,35,17/52,17/1015,35/4110,0.0336339891225809,0.0336339891225809,0.0336339891225809,Metabolism; Amino acid metabolism,"Valine, leucine and isoleucine degradation",gad1CS_subVScont
ath00261,6,1.975669099756691,14,8,6/14,6/1015,8/4110,0.041772068636740524,0.041772068636740524,0.041772068636740524,Metabolism; Biosynthesis of other secondary metabolites,Monobactam biosynthesis,gad1CS_subVScont
ath00904,8,3.210462287104623,21,13,8/21,8/1015,13/4110,0.0501400374753154,0.0501400374753154,0.0501400374753154,Metabolism; Metabolism of terpenoids and polyketides,Diterpenoid biosynthesis,gad1CS_subVScont
ath00592,14,7.161800486618005,43,29,14/43,14/1015,29/4110,0.051713521399759536,0.051713521399759536,0.051713521399759536,Metabolism; Lipid metabolism,alpha-Linolenic acid metabolism,gad1CS_subVScont
ath00220,12,5.927007299270073,36,24,12/36,12/1015,24/4110,0.0559514084746228,0.0559514084746228,0.0559514084746228,Metabolism; Amino acid metabolism,Arginine biosynthesis,gad1CS_subVScont
ath00601,3,0.49391727493917276,5,2,3/5,3/1015,2/4110,0.056343211925729775,0.056343211925729775,0.056343211925729775,Metabolism; Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series,gad1CS_subVScont
ath00906,10,4.692214111922141,29,19,10/29,10/1015,19/4110,0.059331595266317025,0.059331595266317025,0.059331595266317025,Metabolism; Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,gad1CS_subVScont
ath00052,17,9.878345498783455,57,40,17/57,17/1015,40/4110,0.0652871860340403,0.0652871860340403,0.0652871860340403,Metabolism; Carbohydrate metabolism,Galactose metabolism,gad1CS_subVScont
ath00040,29,19.509732360097324,108,79,29/108,29/1015,79/4110,0.06745665384712152,0.06745665384712152,0.06745665384712152,Metabolism; Carbohydrate metabolism,Pentose and glucuronate interconversions,gad1CS_subVScont
ath00260,20,12.347931873479318,70,50,20/70,20/1015,50/4110,0.07004352251863309,0.07004352251863309,0.07004352251863309,Metabolism; Amino acid metabolism,"Glycine, serine and threonine metabolism",gad1CS_subVScont
ath00920,13,7.161800486618005,42,29,13/42,13/1015,29/4110,0.07925711443964308,0.07925711443964308,0.07925711443964308,Metabolism; Energy metabolism,Sulfur metabolism,gad1CS_subVScont
ath03410,13,7.161800486618005,42,29,13/42,13/1015,29/4110,0.07925711443964308,0.07925711443964308,0.07925711443964308,Genetic Information Processing; Replication and repair,Base excision repair,gad1CS_subVScont
ath00591,4,1.2347931873479319,9,5,4/9,4/1015,5/4110,0.0829062638259481,0.0829062638259481,0.0829062638259481,Metabolism; Lipid metabolism,Linoleic acid metabolism,gad1CS_subVScont
ath00270,32,22.720194647201946,124,92,32/124,32/1015,92/4110,0.10920178316194305,0.10920178316194305,0.10920178316194305,Metabolism; Amino acid metabolism,Cysteine and methionine metabolism,gad1CS_subVScont
ath00250,15,8.89051094890511,51,36,15/51,15/1015,36/4110,0.10926868881377737,0.10926868881377737,0.10926868881377737,Metabolism; Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",gad1CS_subVScont
ath04626,49,38.27858880778589,204,155,49/204,49/1015,155/4110,0.12758184836017314,0.12758184836017314,0.12758184836017314,Organismal Systems; Environmental adaptation,Plant-pathogen interaction,gad1CS_subVScont
ath00941,8,4.198296836982968,25,17,8/25,8/1015,17/4110,0.13232153389757703,0.13232153389757703,0.13232153389757703,Metabolism; Biosynthesis of other secondary metabolites,Flavonoid biosynthesis,gad1CS_subVScont
ath00450,6,2.9635036496350367,18,12,6/18,6/1015,12/4110,0.14648368561717923,0.14648368561717923,0.14648368561717923,Metabolism; Metabolism of other amino acids,Selenocompound metabolism,gad1CS_subVScont
ath00290,7,3.457420924574209,21,14,7/21,7/1015,14/4110,0.16334007928971253,0.16334007928971253,0.16334007928971253,Metabolism; Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",gad1CS_subVScont
ath00196,7,3.704379562043796,22,15,7/22,7/1015,15/4110,0.17702970193646383,0.17702970193646383,0.17702970193646383,Metabolism; Energy metabolism,Photosynthesis - antenna proteins,gad1CS_subVScont
ath00061,12,7.655717761557177,43,31,12/43,12/1015,31/4110,0.18049032496756892,0.18049032496756892,0.18049032496756892,Metabolism; Lipid metabolism,Fatty acid biosynthesis,gad1CS_subVScont
ath00071,13,8.396593673965937,47,34,13/47,13/1015,34/4110,0.19617021747510865,0.19617021747510865,0.19617021747510865,Metabolism; Lipid metabolism,Fatty acid degradation,gad1CS_subVScont
ath00630,20,14.32360097323601,78,58,20/78,20/1015,58/4110,0.1977785200468861,0.1977785200468861,0.1977785200468861,Metabolism; Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,gad1CS_subVScont
ath00240,17,11.607055961070559,64,47,17/64,17/1015,47/4110,0.204754153470633,0.204754153470633,0.204754153470633,Metabolism; Nucleotide metabolism,Pyrimidine metabolism,gad1CS_subVScont
ath00940,31,23.95498783454988,128,97,31/128,31/1015,97/4110,0.2162408797708976,0.2162408797708976,0.2162408797708976,Metabolism; Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis,gad1CS_subVScont
ath00230,22,16.052311435523116,87,65,22/87,22/1015,65/4110,0.22076804710249617,0.22076804710249617,0.22076804710249617,Metabolism; Nucleotide metabolism,Purine metabolism,gad1CS_subVScont
ath04712,11,6.914841849148418,39,28,11/39,11/1015,28/4110,0.22315058156603598,0.22315058156603598,0.22315058156603598,Organismal Systems; Environmental adaptation,Circadian rhythm - plant,gad1CS_subVScont
ath00520,32,24.942822384428222,133,101,32/133,32/1015,101/4110,0.22482816154332666,0.22482816154332666,0.22482816154332666,Metabolism; Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,gad1CS_subVScont
ath00460,18,12.841849148418492,70,52,18/70,18/1015,52/4110,0.22622845466530958,0.22622845466530958,0.22622845466530958,Metabolism; Metabolism of other amino acids,Cyanoamino acid metabolism,gad1CS_subVScont
ath00603,4,1.7287104622871046,11,7,4/11,4/1015,7/4110,0.24462499409805533,0.24462499409805533,0.24462499409805533,Metabolism; Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - globo and isoglobo series,gad1CS_subVScont
ath00564,24,18.521897810218977,99,75,24/99,24/1015,75/4110,0.2536345673357124,0.2536345673357124,0.2536345673357124,Metabolism; Lipid metabolism,Glycerophospholipid metabolism,gad1CS_subVScont
ath03430,10,6.6678832116788325,37,27,10/37,10/1015,27/4110,0.29837685910484896,0.29837685910484896,0.29837685910484896,Genetic Information Processing; Replication and repair,Mismatch repair,gad1CS_subVScont
ath00330,14,9.878345498783455,54,40,14/54,14/1015,40/4110,0.30108569249681216,0.30108569249681216,0.30108569249681216,Metabolism; Amino acid metabolism,Arginine and proline metabolism,gad1CS_subVScont
ath01040,7,4.445255474452555,25,18,7/25,7/1015,18/4110,0.31368517615272773,0.31368517615272773,0.31368517615272773,Metabolism; Lipid metabolism,Biosynthesis of unsaturated fatty acids,gad1CS_subVScont
ath00565,7,4.692214111922141,26,19,7/26,7/1015,19/4110,0.33113511240970744,0.33113511240970744,0.33113511240970744,Metabolism; Lipid metabolism,Ether lipid metabolism,gad1CS_subVScont
ath00780,5,2.71654501216545,16,11,5/16,5/1015,11/4110,0.34012614586659756,0.34012614586659756,0.34012614586659756,Metabolism; Metabolism of cofactors and vitamins,Biotin metabolism,gad1CS_subVScont
ath00905,3,1.4817518248175183,9,6,3/9,3/1015,6/4110,0.39350732688013884,0.39350732688013884,0.39350732688013884,Metabolism; Metabolism of terpenoids and polyketides,Brassinosteroid biosynthesis,gad1CS_subVScont
ath00531,3,1.7287104622871046,10,7,3/10,3/1015,7/4110,0.4260346642368059,0.4260346642368059,0.4260346642368059,Metabolism; Glycan biosynthesis and metabolism,Glycosaminoglycan degradation,gad1CS_subVScont
ath00640,10,7.655717761557177,41,31,10/41,10/1015,31/4110,0.4345026006516851,0.4345026006516851,0.4345026006516851,Metabolism; Carbohydrate metabolism,Propanoate metabolism,gad1CS_subVScont
ath00195,18,14.570559610705596,77,59,18/77,18/1015,59/4110,0.47043019846981454,0.47043019846981454,0.47043019846981454,Metabolism; Energy metabolism,Photosynthesis,gad1CS_subVScont
ath00600,8,5.927007299270073,32,24,8/32,8/1015,24/4110,0.5027123206775477,0.5027123206775477,0.5027123206775477,Metabolism; Lipid metabolism,Sphingolipid metabolism,gad1CS_subVScont
ath00750,4,2.71654501216545,15,11,4/15,4/1015,11/4110,0.5157150348268633,0.5157150348268633,0.5157150348268633,Metabolism; Metabolism of cofactors and vitamins,Vitamin B6 metabolism,gad1CS_subVScont
ath00073,9,6.914841849148418,37,28,9/37,9/1015,28/4110,0.5331311832531552,0.5331311832531552,0.5331311832531552,Metabolism; Lipid metabolism,"Cutin, suberine and wax biosynthesis",gad1CS_subVScont
ath00670,5,3.951338199513382,21,16,5/21,5/1015,16/4110,0.5888508265018759,0.5888508265018759,0.5888508265018759,Metabolism; Metabolism of cofactors and vitamins,One carbon pool by folate,gad1CS_subVScont
ath00030,13,11.113138686131387,58,45,13/58,13/1015,45/4110,0.6192557490858438,0.6192557490858438,0.6192557490858438,Metabolism; Carbohydrate metabolism,Pentose phosphate pathway,gad1CS_subVScont
ath00051,14,12.100973236009732,63,49,14/63,14/1015,49/4110,0.6332836936508284,0.6332836936508284,0.6332836936508284,Metabolism; Carbohydrate metabolism,Fructose and mannose metabolism,gad1CS_subVScont
ath00380,14,12.347931873479318,64,50,14/64,14/1015,50/4110,0.637910477757272,0.637910477757272,0.637910477757272,Metabolism; Amino acid metabolism,Tryptophan metabolism,gad1CS_subVScont
