GO_term,Descrip,DECount,Expect,N,DEGsRatio,GeneRatio,BgRatio,p,adjP,FDR,Expr,shortest_path,longest_path,terminal_node,ontology,Group
GO:0042221,response to chemical,492,333.95661484033144,3153,492/3153,492/2696,2661/21482,3.2941385603186996e-16,1.1773251214579032e-12,6.196448007673175e-14,Down,2,2,FALSE,BP,wt_subVScont
GO:0009414,response to water deprivation,102,37.65012568662136,402,102/402,102/2696,300/21482,1.188707222021319e-15,4.248439611504194e-12,1.8471476571757367e-13,Down,3,5,FALSE,BP,wt_subVScont
GO:0009415,response to water,103,38.65412903826459,411,103/411,103/2696,308/21482,1.446951879892742e-15,5.17140601873666e-12,2.1547525078069415e-13,Down,3,4,FALSE,BP,wt_subVScont
GO:0000278,mitotic cell cycle,83,26.982590075411974,298,83/298,83/2696,215/21482,1.6473489921808107e-15,5.887625298054218e-12,2.355050119221687e-13,Down,3,3,FALSE,BP,wt_subVScont
GO:0009753,response to jasmonic acid,63,16.691555721068802,196,63/196,63/2696,133/21482,2.3114001699399267e-15,8.260944207365298e-12,3.1772862336020376e-13,Down,4,5,FALSE,BP,wt_subVScont
GO:0009611,response to wounding,68,19.327064519132296,222,68/222,68/2696,154/21482,2.790830876296697e-15,9.974429551884395e-12,3.694233167364591e-13,Down,3,3,FALSE,BP,wt_subVScont
GO:0010033,response to organic substance,343,215.8607206032958,2063,343/2063,343/2696,1720/21482,4.903395294287024e-15,1.7524734781781826e-11,6.258833850636366e-13,Down,3,3,FALSE,BP,wt_subVScont
GO:0070542,response to fatty acid,63,17.19355739689042,200,63/200,63/2696,137/21482,6.754861775321208e-15,2.4141875984997998e-11,8.324784822413103e-13,Down,4,5,FALSE,BP,wt_subVScont
GO:0031225,anchored component of membrane,85,30.873103063029514,331,85/331,85/2696,246/21482,9.848085017383623e-14,3.5197055852129067e-10,1.0422017562866064e-11,Down,3,4,FALSE,CC,wt_subVScont
GO:0005886,plasma membrane,518,369.84973466157714,3465,518/3465,518/2696,2947/21482,1.3799385899932602e-13,4.931900520635912e-10,1.4091144344674034e-11,Down,3,3,FALSE,CC,wt_subVScont
GO:0001101,response to acid chemical,103,42.54464202588213,442,103/442,103/2696,339/21482,2.3073865229380507e-13,8.246599432980593e-10,2.2288106575623227e-11,Down,3,3,FALSE,BP,wt_subVScont
GO:0009505,plant-type cell wall,67,21.33507122241877,237,67/237,67/2696,170/21482,3.1903690475962784e-13,1.1402378976109098e-9,3.0006260463445e-11,Down,4,5,FALSE,CC,wt_subVScont
GO:0005976,polysaccharide metabolic process,111,48.06666045991993,494,111/494,111/2696,383/21482,5.100783198125982e-13,1.8230199150102261e-9,4.674410038487759e-11,Down,4,4,FALSE,BP,wt_subVScont
GO:0005975,carbohydrate metabolic process,215,123.11591099525184,1196,215/1196,215/2696,981/21482,7.455697288509616e-13,2.6646662109133368e-9,6.661665527283341e-11,Down,3,3,FALSE,BP,wt_subVScont
GO:1903047,mitotic cell cycle process,67,22.213574155106603,244,67/244,67/2696,177/21482,1.6612624953857135e-12,5.93735215850854e-9,1.34939821784285e-10,Down,3,4,FALSE,BP,wt_subVScont
GO:0005576,extracellular region,312,202.1811749371567,1923,312/1923,312/2696,1611/21482,2.329168098942536e-12,8.324446785620624e-9,1.8498770634712495e-10,Down,2,2,FALSE,CC,wt_subVScont
GO:0048046,apoplast,104,45.05465040499023,463,104/463,104/2696,359/21482,2.5420409677663537e-12,9.085254418796948e-9,1.9330328550631805e-10,Down,3,3,TRUE,CC,wt_subVScont
GO:0042546,cell wall biogenesis,70,24.598082115259288,266,70/266,70/2696,196/21482,4.662780661911455e-12,1.666477808567154e-8,3.332955617134308e-10,Down,3,4,FALSE,BP,wt_subVScont
GO:0016758,"transferase activity, transferring hexosyl groups",87,35.01461688855786,366,87/366,87/2696,279/21482,6.504352463782859e-12,2.3246555705559936e-8,4.558148177560772e-10,Down,4,4,FALSE,MF,wt_subVScont
GO:0010383,cell wall polysaccharide metabolic process,48,12.926543152406666,151,48/151,48/2696,103/21482,7.448950236750852e-12,2.6622548146147542e-8,5.119720797336066e-10,Down,4,6,FALSE,BP,wt_subVScont
GO:0008194,UDP-glycosyltransferase activity,73,27.108090494367378,289,73/289,73/2696,216/21482,1.2652736326307661e-11,4.522087963022358e-8,8.374236968559923e-10,Down,4,4,FALSE,MF,wt_subVScont
GO:0051301,cell division,100,44.301647891257794,453,100/453,100/2696,353/21482,1.561774757723573e-11,5.58178298410405e-8,9.792601726498333e-10,Down,2,2,FALSE,BP,wt_subVScont
GO:0010035,response to inorganic substance,176,98.64332929894796,962,176/962,176/2696,786/21482,2.204704157931517e-11,7.879612660447242e-8,1.3585539069736622e-9,Down,3,3,FALSE,BP,wt_subVScont
GO:0044036,cell wall macromolecule metabolic process,53,16.189554045247185,182,53/182,53/2696,129/21482,2.7074797769938267e-11,9.676532722975937e-8,1.6400902920298197e-9,Down,3,5,FALSE,BP,wt_subVScont
GO:0050896,response to stimulus,865,700.4178381901127,6446,865/6446,865/2696,5581/21482,3.143896596224137e-11,1.1236286434905067e-7,1.872714405817511e-9,Down,1,1,FALSE,BP,wt_subVScont
GO:0071669,plant-type cell wall organization or biogenesis,73,27.861093008099804,295,73/295,73/2696,222/21482,3.883419672922627e-11,1.3879341911025468e-7,2.275301952627126e-9,Down,3,3,FALSE,BP,wt_subVScont
GO:0016757,"transferase activity, transferring glycosyl groups",129,65.00921701889955,647,129/647,129/2696,518/21482,4.0742373905678534e-11,1.4561324433889508e-7,2.348600715143469e-9,Down,3,3,FALSE,MF,wt_subVScont
GO:0019748,secondary metabolic process,85,35.89311982124569,371,85/371,85/2696,286/21482,1.0634731066832333e-10,3.8008528832858755e-7,5.758868004978599e-9,Down,2,2,FALSE,BP,wt_subVScont
GO:0010410,hemicellulose metabolic process,38,9.287031002699935,112,38/112,38/2696,74/21482,1.2993240802115135e-10,4.643784262675949e-7,6.931021287576044e-9,Down,5,7,FALSE,BP,wt_subVScont
GO:0099081,supramolecular polymer,64,23.59407876361605,252,64/252,64/2696,188/21482,2.2139903626368966e-10,7.912801556064268e-7,1.1144790924034182e-8,Down,3,3,FALSE,CC,wt_subVScont
GO:0099512,supramolecular fiber,64,23.59407876361605,252,64/252,64/2696,188/21482,2.2139903626368966e-10,7.912801556064268e-7,1.1144790924034182e-8,Down,4,4,FALSE,CC,wt_subVScont
GO:0099513,polymeric cytoskeletal fiber,64,23.59407876361605,252,64/252,64/2696,188/21482,2.2139903626368966e-10,7.912801556064268e-7,1.1144790924034182e-8,Down,5,6,FALSE,CC,wt_subVScont
GO:0005874,microtubule,62,22.590075411972816,242,62/242,62/2696,180/21482,2.3066770018862526e-10,8.244063604741467e-7,1.1450088339918702e-8,Down,6,7,FALSE,CC,wt_subVScont
GO:0005856,cytoskeleton,95,43.54864537752537,442,95/442,95/2696,347/21482,3.2789869276515434e-10,1.1719099279426616e-6,1.5625465705902156e-8,Down,4,5,FALSE,CC,wt_subVScont
GO:0006270,DNA replication initiation,17,1.5060050274648542,29,17/29,17/2696,12/21482,8.401288649334607e-10,3.0026205632721885e-6,3.899507225028816e-8,Down,5,8,FALSE,BP,wt_subVScont
GO:0003824,catalytic activity,1278,1110.1767060795084,10124,1278/10124,1278/2696,8846/21482,8.514352433872092e-10,3.0430295598658855e-6,3.9013199485460066e-8,Down,1,1,FALSE,MF,wt_subVScont
GO:0008092,cytoskeletal protein binding,74,30.99860348198492,321,74/321,74/2696,247/21482,9.823261417856094e-10,3.510833630741768e-6,4.3885420384272094e-8,Down,3,3,FALSE,MF,wt_subVScont
GO:0043436,oxoacid metabolic process,200,122.86491015734103,1179,200/1179,200/2696,979/21482,1.012294323800362e-9,3.6179399132624938e-6,4.466592485509252e-8,Down,4,4,FALSE,BP,wt_subVScont
GO:0032502,developmental process,478,358.8056977935015,3337,478/3337,478/2696,2859/21482,1.1745001244574269e-9,4.197663444810844e-6,5.119101761964444e-8,Down,1,1,FALSE,BP,wt_subVScont
GO:0048856,anatomical structure development,461,344.6241504515408,3207,461/3207,461/2696,2746/21482,1.5809608523394435e-9,5.650354086261171e-6,6.494659869265713e-8,Down,2,2,FALSE,BP,wt_subVScont
GO:0006261,DNA-dependent DNA replication,43,13.177543990317474,148,43/148,43/2696,105/21482,2.1098871374890855e-9,7.5407366293859915e-6,8.472737785826956e-8,Down,6,7,FALSE,BP,wt_subVScont
GO:0006082,organic acid metabolic process,205,128.38692859137882,1228,205/1228,205/2696,1023/21482,2.1520275362424116e-9,7.691346414530379e-6,8.472854017847339e-8,Down,3,3,FALSE,BP,wt_subVScont
GO:0044264,cellular polysaccharide metabolic process,74,31.500605157806536,325,74/325,74/2696,251/21482,2.1573299262006374e-9,7.710297156241078e-6,8.472854017847339e-8,Down,4,5,FALSE,BP,wt_subVScont
GO:0016143,S-glycoside metabolic process,37,10.291034354343171,119,37/119,37/2696,82/21482,3.5889826341454525e-9,1.2827023934435847e-5,1.3502130457300891e-7,Down,4,5,FALSE,BP,wt_subVScont
GO:0019757,glycosinolate metabolic process,37,10.291034354343171,119,37/119,37/2696,82/21482,3.5889826341454525e-9,1.2827023934435847e-5,1.3502130457300891e-7,Down,3,6,FALSE,BP,wt_subVScont
GO:0019760,glucosinolate metabolic process,37,10.291034354343171,119,37/119,37/2696,82/21482,3.5889826341454525e-9,1.2827023934435847e-5,1.3502130457300891e-7,Down,4,7,FALSE,BP,wt_subVScont
GO:0015630,microtubule cytoskeleton,70,29.492598454520063,305,70/305,70/2696,235/21482,3.6877768481145804e-9,1.318011445516151e-5,1.372928589079324e-7,Down,5,6,FALSE,CC,wt_subVScont
GO:0009834,plant-type secondary cell wall biogenesis,30,7.153523880458058,87,30/87,30/2696,57/21482,7.251289577980826e-9,2.5916108951703474e-5,2.5916108951703477e-7,Down,5,6,FALSE,BP,wt_subVScont
GO:0044772,mitotic cell cycle phase transition,30,7.153523880458058,87,30/87,30/2696,57/21482,7.251289577980826e-9,2.5916108951703474e-5,2.5916108951703477e-7,Down,4,5,FALSE,BP,wt_subVScont
GO:0016491,oxidoreductase activity,261,177.70859324085282,1677,261/1677,261/2696,1416/21482,1.2813512521014783e-8,4.579549375010684e-5,4.36147559524827e-7,Down,2,2,FALSE,MF,wt_subVScont
GO:1901657,glycosyl compound metabolic process,51,18.950563262266083,202,51/202,51/2696,151/21482,1.540502179566632e-8,5.5057547897711424e-5,5.111345294730596e-7,Down,4,4,FALSE,BP,wt_subVScont
GO:0006949,syncytium formation,10,0.25100083791080907,12,10/12,10/2696,2/21482,1.561777860794636e-8,5.5817940744800295e-5,5.120911994935807e-7,Down,2,5,FALSE,BP,wt_subVScont
GO:0046527,glucosyltransferase activity,47,16.691555721068802,180,47/180,47/2696,133/21482,1.7467472302607525e-8,6.242874600951929e-5,5.624211352208946e-7,Down,5,5,FALSE,MF,wt_subVScont
GO:0016829,lyase activity,94,47.1881575272321,470,94/470,94/2696,376/21482,1.886513528685926e-8,6.742399351523499e-5,5.966725089843805e-7,Down,2,2,FALSE,MF,wt_subVScont
GO:0008017,microtubule binding,45,15.562051950470162,169,45/169,45/2696,124/21482,1.977066474030765e-8,7.066035578185954e-5,6.169282756457855e-7,Down,5,5,FALSE,MF,wt_subVScont
GO:0045491,xylan metabolic process,23,4.392514663439158,58,23/58,23/2696,35/21482,1.9850797901305354e-8,7.094675169926534e-5,6.169282756457855e-7,Down,6,8,FALSE,BP,wt_subVScont
GO:0009628,response to abiotic stimulus,329,236.56828973093752,2214,329/2214,329/2696,1885/21482,2.0331057033214548e-8,7.26631978367088e-5,6.26406877902662e-7,Down,2,2,FALSE,BP,wt_subVScont
GO:0044770,cell cycle phase transition,30,7.781025975235081,92,30/92,30/2696,62/21482,3.1451149387340596e-8,1.124064079103553e-4,9.525966772064008e-7,Down,3,4,FALSE,BP,wt_subVScont
GO:0044550,secondary metabolite biosynthetic process,44,15.311051112559351,166,44/166,44/2696,122/21482,3.23829243299202e-8,1.157365715551348e-4,9.725762315557547e-7,Down,3,3,FALSE,BP,wt_subVScont
GO:0006260,DNA replication,49,18.323061167489062,195,49/195,49/2696,146/21482,3.448339093390371e-8,1.2324363919777187e-4,1.027030326648099e-6,Down,5,6,FALSE,BP,wt_subVScont
GO:0033260,nuclear DNA replication,12,0.7530025137324271,18,12/18,12/2696,6/21482,3.511037790278012e-8,1.2548449062453615e-4,1.0370619059879021e-6,Down,4,9,FALSE,BP,wt_subVScont
GO:0044281,small molecule metabolic process,277,195.27865189460945,1833,277/1833,277/2696,1556/21482,7.465685887272746e-8,2.6682361361112796e-4,2.1009733355206926e-6,Down,2,2,FALSE,BP,wt_subVScont
GO:0003688,DNA replication origin binding,12,0.8785029326878316,19,12/19,12/2696,7/21482,8.556838400942641e-8,3.0582140444969e-4,2.370708561625504e-6,Down,7,7,TRUE,MF,wt_subVScont
GO:0009737,response to abscisic acid,111,61.74620612605903,603,111/603,111/2696,492/21482,9.005678355817092e-8,3.218629444369029e-4,2.475868803360791e-6,Down,4,5,FALSE,BP,wt_subVScont
GO:0044038,cell wall macromolecule biosynthetic process,29,7.781025975235081,91,29/91,29/2696,62/21482,9.362127335079495e-8,3.346024309557411e-4,2.534866901179857e-6,Down,4,7,FALSE,BP,wt_subVScont
GO:0070589,cellular component macromolecule biosynthetic process,29,7.781025975235081,91,29/91,29/2696,62/21482,9.362127335079495e-8,3.346024309557411e-4,2.534866901179857e-6,Down,4,6,FALSE,BP,wt_subVScont
GO:0007017,microtubule-based process,56,23.468578344660646,243,56/243,56/2696,187/21482,1.0102895289830068e-7,3.610774776585266e-4,2.6934110423410925e-6,Down,2,2,FALSE,BP,wt_subVScont
GO:0045488,pectin metabolic process,44,15.81305278838097,170,44/170,44/2696,126/21482,1.0218255520977447e-7,3.6520045231973395e-4,2.6934110423410925e-6,Down,4,6,FALSE,BP,wt_subVScont
GO:0097305,response to alcohol,112,62.499208639791455,610,112/610,112/2696,498/21482,1.0249129875724359e-7,3.6630390175838856e-4,2.6934110423410925e-6,Down,4,4,FALSE,BP,wt_subVScont
GO:0015631,tubulin binding,46,17.319057815845824,184,46/184,46/2696,138/21482,1.0671455565050498e-7,3.813978218949048e-4,2.783925707262079e-6,Down,4,4,FALSE,MF,wt_subVScont
GO:0032870,cellular response to hormone stimulus,166,104.54184898985197,999,166/999,166/2696,833/21482,1.0946009293242814e-7,3.912103721404982e-4,2.8348577691340444e-6,Down,4,5,FALSE,BP,wt_subVScont
GO:0010393,galacturonan metabolic process,44,15.938553207336374,171,44/171,44/2696,127/21482,1.1080510358920812e-7,3.960174402278298e-4,2.849046332574315e-6,Down,5,5,FALSE,BP,wt_subVScont
GO:0046658,anchored component of plasma membrane,44,16.189554045247185,173,44/173,44/2696,129/21482,1.3699965833436385e-7,4.896367788870164e-4,3.4240334187903246e-6,Down,4,5,FALSE,CC,wt_subVScont
GO:0007275,multicellular organism development,399,305.4680197374546,2833,399/2833,399/2696,2434/21482,3.014639255251179e-7,0.0010774320698267714,7.430565998805321e-6,Down,2,3,FALSE,BP,wt_subVScont
GO:0009832,plant-type cell wall biogenesis,45,17.570058653756632,185,45/185,45/2696,140/21482,4.0187288457848567e-7,0.0014362936894835078,9.770705370636107e-6,Down,4,5,FALSE,BP,wt_subVScont
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",81,41.91713993110511,415,81/415,81/2696,334/21482,5.338713409253885e-7,0.0019080561724673384,1.2470955375603518e-5,Down,4,4,FALSE,MF,wt_subVScont
GO:0070592,cell wall polysaccharide biosynthetic process,27,7.655525556279676,88,27/88,27/2696,61/21482,6.033738487230891e-7,0.0021564581353363203,1.3912633131202068e-5,Down,5,8,FALSE,BP,wt_subVScont
GO:0035251,UDP-glucosyltransferase activity,37,13.177543990317474,142,37/142,37/2696,105/21482,6.207166583578985e-7,0.002218441336971129,1.4220777801096982e-5,Down,5,6,FALSE,MF,wt_subVScont
GO:0009755,hormone-mediated signaling pathway,155,99.01983055581417,944,155/944,155/2696,789/21482,6.413628097157387e-7,0.00229223068192405,1.4558682717214658e-5,Down,3,6,FALSE,BP,wt_subVScont
GO:0071495,cellular response to endogenous stimulus,167,108.43236197746951,1031,167/1031,167/2696,864/21482,6.436127222495567e-7,0.0023002718693199155,1.4558682717214658e-5,Down,3,3,FALSE,BP,wt_subVScont
GO:0031226,intrinsic component of plasma membrane,60,27.610092170188995,280,60/280,60/2696,220/21482,7.175356999125175e-7,0.0025644725914873378,1.5928401189362344e-5,Down,3,4,FALSE,CC,wt_subVScont
GO:0051726,regulation of cell cycle,60,27.610092170188995,280,60/280,60/2696,220/21482,7.175356999125175e-7,0.0025644725914873378,1.5928401189362344e-5,Down,3,4,FALSE,BP,wt_subVScont
GO:0009694,jasmonic acid metabolic process,19,3.8905129876175404,50,19/50,19/2696,31/21482,7.352731645013796e-7,0.0026278662899279306,1.6121879079312457e-5,Down,3,7,FALSE,BP,wt_subVScont
GO:0046394,carboxylic acid biosynthetic process,99,55.5966855972442,542,99/542,99/2696,443/21482,7.738048443283057e-7,0.0027655785136293646,1.6863283619691247e-5,Down,5,6,FALSE,BP,wt_subVScont
GO:0000271,polysaccharide biosynthetic process,53,23.34307792570524,239,53/239,53/2696,186/21482,8.159165702061567e-7,0.002916085821916804,1.7566782059739784e-5,Down,5,5,FALSE,BP,wt_subVScont
GO:0016144,S-glycoside biosynthetic process,18,3.5140117307513266,46,18/46,18/2696,28/21482,8.641555418788459e-7,0.003088491906674995,1.827510003949701e-5,Down,5,6,FALSE,BP,wt_subVScont
GO:0019758,glycosinolate biosynthetic process,18,3.5140117307513266,46,18/46,18/2696,28/21482,8.641555418788459e-7,0.003088491906674995,1.827510003949701e-5,Down,4,7,FALSE,BP,wt_subVScont
GO:0019761,glucosinolate biosynthetic process,18,3.5140117307513266,46,18/46,18/2696,28/21482,8.641555418788459e-7,0.003088491906674995,1.827510003949701e-5,Down,5,8,FALSE,BP,wt_subVScont
GO:0044262,cellular carbohydrate metabolic process,93,51.455171771715854,503,93/503,93/2696,410/21482,9.13132036014321e-7,0.0032635338967151833,1.919725821597167e-5,Down,3,4,FALSE,BP,wt_subVScont
GO:0080167,response to karrikin,34,11.67153896285262,127,34/127,34/2696,93/21482,1.1127645040885774e-6,0.003977020337612575,2.3257428874927343e-5,Down,3,3,TRUE,BP,wt_subVScont
GO:0099503,secretory vesicle,42,16.440554883157994,173,42/173,42/2696,131/21482,1.1292764578662318e-6,0.0040360340604139126,2.3465314304732048e-5,Down,4,7,FALSE,CC,wt_subVScont
GO:0016053,organic acid biosynthetic process,103,59.487198584861744,577,103/577,103/2696,474/21482,1.2345679539984089e-6,0.004412345867590314,2.5213404957658932e-5,Down,4,4,FALSE,BP,wt_subVScont
GO:0000226,microtubule cytoskeleton organization,43,17.444558234801228,182,43/182,43/2696,139/21482,1.4409798326801981e-6,0.005150061921999028,2.9096395039542528e-5,Down,3,6,FALSE,BP,wt_subVScont
GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,19,4.1415138255283495,52,19/52,19/2696,33/21482,1.4816273035721282e-6,0.005295335982966786,2.9749078555993178e-5,Down,5,5,FALSE,MF,wt_subVScont
GO:0000307,cyclin-dependent protein kinase holoenzyme complex,21,5.145517177171586,62,21/62,21/2696,41/21482,1.7748619844977474e-6,0.006343356732594949,3.543774710946899e-5,Down,2,7,FALSE,CC,wt_subVScont
GO:0007010,cytoskeleton organization,64,31.87710641467275,318,64/318,64/2696,254/21482,2.4442131662339094e-6,0.008735617856119992,4.853121031177773e-5,Down,5,5,FALSE,BP,wt_subVScont
GO:0006629,lipid metabolic process,181,123.24141141420725,1163,181/1163,181/2696,982/21482,2.707255204794033e-6,0.009675730101933873,5.2585489684423224e-5,Down,3,3,FALSE,BP,wt_subVScont
GO:1901659,glycosyl compound biosynthetic process,23,6.400521366725631,74,23/74,23/2696,51/21482,3.149295111362382e-6,0.011255580728009154,6.0513874881769645e-5,Down,5,5,FALSE,BP,wt_subVScont
GO:0072330,monocarboxylic acid biosynthetic process,55,25.978586723768736,262,55/262,55/2696,207/21482,3.954228259304066e-6,0.01413241179875273,7.360631145183714e-5,Down,6,7,FALSE,BP,wt_subVScont
GO:0045492,xylan biosynthetic process,15,2.7610092170188993,37,15/37,15/2696,22/21482,4.1858268221591515e-6,0.014960145062396808,7.71141498061691e-5,Down,6,9,FALSE,BP,wt_subVScont
GO:0000272,polysaccharide catabolic process,43,18.323061167489062,189,43/189,43/2696,146/21482,4.243799978546759e-6,0.015167341123326118,7.778123652987752e-5,Down,5,5,FALSE,BP,wt_subVScont
GO:0080027,response to herbivore,10,1.0040033516432363,18,10/18,10/2696,8/21482,5.480425983039485e-6,0.01958704246338312,9.942661148925442e-5,Down,3,5,TRUE,BP,wt_subVScont
GO:0032787,monocarboxylic acid metabolic process,95,55.5966855972442,538,95/538,95/2696,443/21482,5.786237974433463e-6,0.020680014520625196,1.0444451778093535e-4,Down,6,6,FALSE,BP,wt_subVScont
GO:0032501,multicellular organismal process,432,345.8791546410949,3188,432/3188,432/2696,2756/21482,6.654020251791263e-6,0.02378146837990197,1.1890734189950988e-4,Down,1,1,FALSE,BP,wt_subVScont
GO:0033692,cellular polysaccharide biosynthetic process,44,19.327064519132296,198,44/198,44/2696,154/21482,6.789389187055162e-6,0.024265276954535148,1.2012513343829281e-4,Down,5,6,FALSE,BP,wt_subVScont
GO:0006631,fatty acid metabolic process,56,27.359091332278187,274,56/274,56/2696,218/21482,6.824154364304557e-6,0.024389527698024487,1.201454566405147e-4,Down,4,7,FALSE,BP,wt_subVScont
GO:0016837,"carbon-oxygen lyase activity, acting on polysaccharides",14,2.5100083791080907,34,14/34,14/2696,20/21482,7.0443868251140714e-06,0.02517663851295769,1.2341489467136124e-4,Down,4,4,FALSE,MF,wt_subVScont
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,21,5.773019271948608,67,21/67,21/2696,46/21482,7.20126298627068e-6,0.02573731391293141,1.249384170530651e-4,Down,5,11,FALSE,BP,wt_subVScont
GO:1904029,regulation of cyclin-dependent protein kinase activity,21,5.773019271948608,67,21/67,21/2696,46/21482,7.20126298627068e-6,0.02573731391293141,1.249384170530651e-4,Down,4,10,FALSE,BP,wt_subVScont
GO:0000727,double-strand break repair via break-induced replication,8,0.5020016758216181,12,8/12,8/2696,4/21482,7.736663158085554e-6,0.02765083412699777,1.335789088260762e-4,Down,8,10,FALSE,BP,wt_subVScont
GO:0055044,symplast,153,102.2828414486547,968,153/968,153/2696,815/21482,8.714592567878406e-6,0.031145953837597423,1.4831406589332105e-4,Down,2,2,FALSE,CC,wt_subVScont
GO:0032993,protein-DNA complex,29,10.165533935387767,110,29/110,29/2696,81/21482,9.326019123595343e-6,0.03333119234772976,1.5648447111610216e-4,Down,2,2,FALSE,CC,wt_subVScont
GO:0010374,stomatal complex development,20,5.396518015082394,63,20/63,20/2696,43/21482,9.533054746632354e-6,0.034071137664464034,1.592109236657198e-4,Down,3,5,FALSE,BP,wt_subVScont
GO:0019752,carboxylic acid metabolic process,163,111.1933711944884,1049,163/1049,163/2696,886/21482,9.674663681781078e-6,0.03457724799868557,1.6082440929621194e-4,Down,5,5,FALSE,BP,wt_subVScont
GO:0050660,flavin adenine dinucleotide binding,39,16.31505446420259,169,39/169,39/2696,130/21482,1.0928839895522537e-5,0.03905967378659755,1.803986699566368e-4,Down,4,5,FALSE,MF,wt_subVScont
GO:0005911,cell-cell junction,152,102.2828414486547,967,152/967,152/2696,815/21482,1.1104562784124256e-5,0.03968770739046009,1.803986699566368e-4,Down,4,4,FALSE,CC,wt_subVScont
GO:0009506,plasmodesma,152,102.2828414486547,967,152/967,152/2696,815/21482,1.1104562784124256e-5,0.03968770739046009,1.803986699566368e-4,Down,3,5,FALSE,CC,wt_subVScont
GO:0070161,anchoring junction,152,102.2828414486547,967,152/967,152/2696,815/21482,1.1104562784124256e-5,0.03968770739046009,1.803986699566368e-4,Down,3,3,FALSE,CC,wt_subVScont
GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,6,0.12550041895540454,7,6/7,6/2696,1/21482,1.2111809881695773e-5,0.04328760851718069,1.9153809078398536e-4,Down,4,10,FALSE,BP,wt_subVScont
GO:0036388,pre-replicative complex assembly,6,0.12550041895540454,7,6/7,6/2696,1/21482,1.2111809881695773e-5,0.04328760851718069,1.9153809078398536e-4,Down,7,8,FALSE,BP,wt_subVScont
GO:0051233,spindle midzone,6,0.12550041895540454,7,6/7,6/2696,1/21482,1.2111809881695773e-5,0.04328760851718069,1.9153809078398536e-4,Down,2,8,FALSE,CC,wt_subVScont
GO:1902299,pre-replicative complex assembly involved in cell cycle DNA replication,6,0.12550041895540454,7,6/7,6/2696,1/21482,1.2111809881695773e-5,0.04328760851718069,1.9153809078398536e-4,Down,3,9,FALSE,BP,wt_subVScont
GO:0009664,plant-type cell wall organization,36,14.68354901778233,153,36/153,36/2696,117/21482,1.2931687018942641e-5,0.046217849405701,2.0310344193158323e-4,Down,4,6,FALSE,BP,wt_subVScont
GO:0051321,meiotic cell cycle,44,19.70356577599851,201,44/201,44/2696,157/21482,1.2956794840627023e-5,0.04630758476040098,2.0310344193158323e-4,Down,2,3,FALSE,BP,wt_subVScont
